"endTime","artistName","trackName","msPlayed"
"2021-04-01 20:00","of Montreal","Wraith Pinned to the Mist and Other Games",255613
"2021-04-01 20:07","Paradis","Hémisphère",411655
"2021-04-01 20:10","Rhye","3 Days",1073
"2021-04-01 20:10","Rhye","Feel Your Weight - Poolside Remix",2650
"2021-04-01 20:10","Röyksopp","So Easy",894
"2021-04-01 20:10","Paradis","Chacun Pour Soi",186467
"2021-04-01 20:10","Peggy Gou","Han Jan - Edit",3571
"2021-04-01 20:10","Polo & Pan","Nanã",1265
"2021-04-01 20:10","Röyksopp","Here She Comes Again",1472
"2021-04-01 20:15","Röyksopp","Here She Comes Again",302270
"2021-04-01 20:20","Röyksopp","So Easy",249360
"2021-04-01 20:21","slenderbodies","anemone",81294
