rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams,date,year,month,week
91,spotify:track:6UelLqGlWMcVH1E5c4H7lY,Harry Styles,Watermelon Sugar,Columbia,28,93,48,915511,2021-02-04,2021,02,1
92,spotify:track:7hbk4BaF66O09R1gq0bKwj,Christian Nodal,No Te Contaron Mal,Universal Music Mexico,9,109,126,906135,2021-02-04,2021,02,1
93,spotify:track:1bRpSCFv6P2OUhciByeRYR,"Alex Rose, Rafa Pabön",Jangueo,Los Oidos Fresh/ Los Proximos,7,85,54,905111,2021-02-04,2021,02,1
94,spotify:track:6VuUMo1TusnqBxLTnr3hOI,León Larregui,Brillas,EMI México,43,91,215,898829,2021-02-04,2021,02,1
95,spotify:track:4saklk6nie3yiGePpBwUoc,BTS,Dynamite,BIGHIT MUSIC,21,88,24,893973,2021-02-04,2021,02,1
96,spotify:track:5Jm4w8jmPEBTLjI9vH4fXo,Ozuna,Caramelo,Aura Music Corp.,4,87,34,893272,2021-02-04,2021,02,1
97,spotify:track:4C6BlqqMwjFzOXzqpTeoWR,Justin Quiles,Ponte Pa' Mi,WEA Latina,80,90,10,886070,2021-02-04,2021,02,1
98,spotify:track:4r9jkMEnArtWGH2rL2FZl0,Bad Bunny,A Tu Merced,Rimas Entertainment LLC,18,96,49,879502,2021-02-04,2021,02,1
99,spotify:track:7sQKy5vlPQllr0k9IjYJv3,"Arcangel, Sech, Dímelo Flow",Sigues Con El,Rimas Entertainment LLC.,3,89,60,860906,2021-02-04,2021,02,1
100,spotify:track:2TH65lNHgvLxCKXM3apjxI,"Bad Bunny, Tainy",Callaita,Rimas Entertainment LLC,1,99,88,860854,2021-02-04,2021,02,1
101,spotify:track:3fBJNawfhtgCmo58trRK2z,Banda MS de Sergio Lizárraga,Cerrando Ciclos,Lizos Music,100,100,10,847407,2021-02-04,2021,02,1
102,spotify:track:1l77YWrGUp3qX3NS1rz7lq,Banda MS de Sergio Lizárraga,El Color de Tus Ojos,Lizos Music,24,121,173,845505,2021-02-04,2021,02,1
103,spotify:track:2tFwfmceQa1Y6nRPhYbEtC,"Jhay Cortez, Bad Bunny",CÓMO SE SIENTE - Remix,N&E Entertainment LLC,26,98,39,842962,2021-02-04,2021,02,1
104,spotify:track:21bfgzz92T3L96IsFn8Kvy,Grupo Firme,El Roto - En Vivo,Music VIP Entertainment,50,105,69,838142,2021-02-04,2021,02,1
105,spotify:track:5Myb8S90Wg0yLec5kmrIGJ,"Los Ángeles Azules, Belinda, Lalo Ebratt, Horacio Palencia",Amor a Primera Vista,OCESA Seitrack,13,101,86,834207,2021-02-04,2021,02,1
106,spotify:track:4NUt1fcnO9aQAELBgXq3Kr,Alejandro Fernández,Me Dediqué a Perderte,Columbia,73,104,215,825814,2021-02-04,2021,02,1
107,spotify:track:380HmhwTE2NJgawn1NwkXi,J Balvin,Rojo,UMLE - Latino,3,106,49,809635,2021-02-04,2021,02,1
108,spotify:track:1pqnQ41XbfKjaFu6M0eGJp,"Tainy, J Balvin",Agua (with J Balvin),NEON16/Interscope Records,3,102,30,809208,2021-02-04,2021,02,1
109,spotify:track:1Z04XN4pH2b8JfdiaIEkl5,"Los 2 de la S, Banda MS de Sergio Lizárraga",Somos Los Que Somos - En Vivo,Lizos Music,109,123,6,808569,2021-02-04,2021,02,1
110,spotify:track:6ifUES3keWjwXgae8pXI3o,Danny Ocean,Me Rehúso,Atlantic Records,1,111,210,805412,2021-02-04,2021,02,1
111,spotify:track:38RIEav39FGi86jppxO0du,"Bad Bunny, Sech",Ignorantes,Rimas Entertainment LLC,2,110,51,800719,2021-02-04,2021,02,1
112,spotify:track:411nmd0QMzty1UjCWSo3rc,"Danna Paola, Sebastian Yatra",No Bailes Sola,Universal Music Mexico,26,95,29,799246,2021-02-04,2021,02,1
113,spotify:track:5stPVcRqb4qixbafP9e8lt,"Dalex, Lenny Tavárez, Chencho Corleone, Juhn, Dímelo Flow",Hola - Remix,Rich Music,10,108,63,799230,2021-02-04,2021,02,1
114,spotify:track:2hqvvHxbWNHBnknhTSKaac,"Carin Leon, Conjunto Primavera",El Amor De Tu Vida,Tamarindo Rekordsz,102,128,22,793721,2021-02-04,2021,02,1
115,spotify:track:5aJ1M43pinROpwaPnO8KRj,Natanael Cano,Amor Tumbado,Rancho Humilde,30,107,55,782491,2021-02-04,2021,02,1
116,spotify:track:6F9yAYUaNbUhdlQyt5uZ3b,Luis Miguel,La Incondicional,WEA Latina,26,112,148,779532,2021-02-04,2021,02,1
117,spotify:track:6NfrH0ANGmgBXyxgV2PeXt,Bad Bunny,La Difícil,Rimas Entertainment LLC,3,114,49,775475,2021-02-04,2021,02,1
118,spotify:track:7MmrcXVA7A5zZ2CbDuGHNa,Rels B,A Mí,ILoveRibs! / MÉCÈN Ent.,68,115,102,770489,2021-02-04,2021,02,1
119,spotify:track:3ZG8N7aWw2meb6UrI5ZmnZ,Sech,Relación,Rich Music,2,113,44,756460,2021-02-04,2021,02,1
120,spotify:track:0tKl8ZVM6xJkhznvJAS3Nq,Junior H,Ella,Rancho Humilde,120,127,55,751444,2021-02-04,2021,02,1
121,spotify:track:1Wrzhfa5bNlqvsnCztz190,Hombres G,Devuélveme a mi chica,WM Spain,72,117,180,744940,2021-02-04,2021,02,1
122,spotify:track:7LE1K0lZyRFZjSlrnm7lfD,"Jay Wheeler, Myke Towers, Rauw Alejandro, DJ Nelson, Jhay Cortez, Lunay, Kendo Kaponi","La Curiosidad (feat. Dj Nelson, Jhay Cortez, Lunay & Kendo Kaponi) - Blue Grand Prix Remix",Linked Music / Dynamic Records / EMPIRE,116,124,5,741214,2021-02-04,2021,02,1
123,spotify:track:5wPhERt9izm1T45aFXDWPe,La Factoria,Todavia,La Factoria,108,130,53,734082,2021-02-04,2021,02,1
124,spotify:track:2UypFzxfaYgMUnQX2k4qtj,"Pepe Aguilar, Melissa Robles, Ángela Aguilar, La Marisoul",Prometiste,Pepe Aguilar,58,119,177,733145,2021-02-04,2021,02,1
125,spotify:track:5LPlvbxA6bJQHvUW12Mr22,Christian Nodal,Amor Tóxico,Universal Music Mexico,16,134,36,733080,2021-02-04,2021,02,1
126,spotify:track:3WQilym5Vi4ypxb70vx0eY,Junior H,Mente Positiva,Rancho Humilde / Z Records,122,131,39,731302,2021-02-04,2021,02,1
127,spotify:track:0XinBYhf1X3kdvKQHOX971,"C. Tangana, Niño de Elche, La Húngara",Tú Me Dejaste De Querer,Sony Music Entertainment,95,118,12,729682,2021-02-04,2021,02,1
128,spotify:track:6SnO4yCCYtz2rffMpEAlro,Christian Nodal,Nace Un Borracho,Universal Music Mexico,17,136,21,728497,2021-02-04,2021,02,1
129,spotify:track:017PF4Q3l4DBUiWoXk4OWT,Dua Lipa,Break My Heart,Warner Records,18,122,45,727773,2021-02-04,2021,02,1
130,spotify:track:6Pur3hWy6Nzc27ilmsp5HA,Los Enanitos Verdes,Lamento Boliviano,EMI Latin,84,133,128,723588,2021-02-04,2021,02,1
131,spotify:track:5EbtodsuLbxrFDH6j5avVS,"Camilo, Pablo Alborán",El Mismo Aire - con Pablo Alborán,Sony Music Latin,27,116,34,719930,2021-02-04,2021,02,1
132,spotify:track:5u6lAvdS8mmHHTHQlC3TtN,Justin Morales,Desde Morro,Rancho Humilde,132,181,2,716580,2021-02-04,2021,02,1
133,spotify:track:50ZC4PM7hywH27RcCfViau,"Rauw Alejandro, Dalex, Lenny Tavárez, Dímelo Flow",Elegí (feat. Dímelo Flow),Sony Music Latin,7,120,45,711596,2021-02-04,2021,02,1
134,spotify:track:1HbA4N1MiOsPthALesGFR1,"Shawn Mendes, Justin Bieber",Monster (Shawn Mendes & Justin Bieber),Shawn Mendes LP4-5 PS/ Island,39,143,11,704770,2021-02-04,2021,02,1
135,spotify:track:2D9itdl85AQVNpTfrxvUGj,Danna Paola,Mala Fama,Universal Music Mexico,28,125,97,704237,2021-02-04,2021,02,1
136,spotify:track:4j3iq13kHs5PB94jdTp3Y3,Maluma,ADMV,Sony Music Latin,18,126,41,703054,2021-02-04,2021,02,1
137,spotify:track:4ggabbjjuHrG06SsYnqvEs,Chayín Rubio,Ya Me Enteré,UMLE - Fonovisa,61,152,77,690781,2021-02-04,2021,02,1
138,spotify:track:35mvY5S1H3J2QZyna3TFe0,Ariana Grande,positions,Republic Records,50,103,15,689657,2021-02-04,2021,02,1
139,spotify:track:0zLCBJZSiELJf02ucPP9wb,"SAINt JHN, Imanbek",Roses - Imanbek Remix,Columbia/B1 Recordings,21,129,46,683262,2021-02-04,2021,02,1
140,spotify:track:3gqgSM82j6NMAj4Jllr06T,Valentín Elizalde,Vete Ya,Universal Music Mexico,117,145,27,681970,2021-02-04,2021,02,1
141,spotify:track:5nujrmhLynf4yMoMtj8AQF,"Dua Lipa, DaBaby",Levitating (feat. DaBaby),Warner Records,141,148,6,679892,2021-02-04,2021,02,1
142,spotify:track:5jW3rF4URMdK7tO2xjS5EI,Paulo Londra,Tal Vez,WEA Latina,2,144,96,679488,2021-02-04,2021,02,1
143,spotify:track:7uoFMmxln0GPXQ0AcCBXRq,Sia,Snowman,Monkey Puzzle/Atlantic,135,140,4,677285,2021-02-04,2021,02,1
144,spotify:track:4qArKIA7dnmdushoBlkV94,"Adriel Favela, Javier Rosas",La Escuela No Me Gustó,"Gerencia 360 Music, Inc.",54,139,104,676788,2021-02-04,2021,02,1
145,spotify:track:5fROvzNghPid8mbKNDYvpJ,Bad Bunny,YO VISTO ASÍ,Rimas Entertainment LLC,8,135,10,674291,2021-02-04,2021,02,1
146,spotify:track:0GzuHFG4Ql6DoyxFRnIk3F,"Maluma, The Weeknd",Hawái - Remix,Sony Music Latin,11,132,13,670682,2021-02-04,2021,02,1
147,spotify:track:56Ta1O7Jxxpjnc6cWdDKUo,"Reik, Farruko, Camilo",Si Me Dices Que Sí,Sony Music México,49,142,50,670079,2021-02-04,2021,02,1
148,spotify:track:5cBrOhKDyiJF9bPGUHKkG0,Dalex,+Linda,Rich Music,34,147,30,669226,2021-02-04,2021,02,1
149,spotify:track:5J7teKIJGtqVypgYI6sqXj,"Bad Bunny, Mora",Una Vez,Rimas Entertainment LLC,30,149,33,666472,2021-02-04,2021,02,1
150,spotify:track:70w1mwTod6NgCNV6e7ZlIQ,"Grupo Firme, Luis Alfonso Partida El Yaki",Cada Vez Te Extraño Más,Music VIP Entertainment Inc,70,159,63,665593,2021-02-04,2021,02,1
151,spotify:track:3jjujdWJ72nww5eGnfs2E7,Harry Styles,Adore You,Columbia,56,162,60,663990,2021-02-04,2021,02,1
152,spotify:track:7MoZgM6AsQaZw14WnKopuy,"Ovy On The Drums, Danny Ocean, KAROL G",Miedito o Qué? (feat. KAROL G),WEA Latina,146,146,4,660925,2021-02-04,2021,02,1
153,spotify:track:059bcIhyc2SBwm6sw2AZzd,"Piso 21, Micro TDH",Te Vi,WM Mexico,3,154,112,660198,2021-02-04,2021,02,1
154,spotify:track:0TJpnfkl1YrpbUUWtEyKAt,Leon Leiden,Fondo de Bikini,WM Mexico,91,151,10,653972,2021-02-04,2021,02,1
155,spotify:track:6jrK6Y8d9tvjAjurI4W99u,Alejandro Fernández,Caballero,UMLE - Latino,40,137,70,653043,2021-02-04,2021,02,1
156,spotify:track:5FGE7nybrywkX6tDfRDf55,"Sergi, KID FLEX",Seguro Te Pierdo,WEA Latina,117,150,14,648065,2021-02-04,2021,02,1
157,spotify:track:7D93pJcwymzaZx8WgBo2zG,Rauw Alejandro,Algo Mágico,Sony Music Latin/Duars Entertainment,157,-1,1,647898,2021-02-04,2021,02,1
158,spotify:track:2UHhMxm2klYzrqcKMFvTzn,Obzesion,Mi Trokita Cumbia,Sony Music Latin,158,-1,1,647894,2021-02-04,2021,02,1
159,spotify:track:5zj8WNkBrEzlI5FKeYV4ol,"Sech, J Balvin",La Luz,Rich Music,46,141,14,643050,2021-02-04,2021,02,1
160,spotify:track:35KmOEIUqAGn02t7n4qaIr,J Balvin,Morado,UMLE - Latino,5,156,56,642184,2021-02-04,2021,02,1
161,spotify:track:2tnVG71enUj33Ic2nFN6kZ,Regard,Ride It,Ministry of Sound Recordings,19,157,68,641291,2021-02-04,2021,02,1
162,spotify:track:4SJHHpKhcuXwDsCsPqshXj,"Rauw Alejandro, Chencho Corleone",El Efecto,"Duars Entertainment, Corp.",11,163,43,638447,2021-02-04,2021,02,1
163,spotify:track:6aommJFM8i3iT4inKuDSXh,Jósean Log,Chachachá,Jósean Log,160,173,38,637366,2021-02-04,2021,02,1
164,spotify:track:3p2KYoBgxUaaoJzXUToM8a,Cartel De Santa,Todas Mueren por Mí,Ariola,164,169,4,633753,2021-02-04,2021,02,1
165,spotify:track:1JSTJqkT5qHq8MDJnJbRE1,The Police,Every Breath You Take,Polydor Records,119,179,116,632882,2021-02-04,2021,02,1
166,spotify:track:0pqnGHJpmpxLKifKRmU6WP,Imagine Dragons,Believer,Kid Ina Korner / Interscope,34,166,206,631128,2021-02-04,2021,02,1
167,spotify:track:3K6noLeoPTQJ5jUErC8jT5,Calibre 50,Simplemente Gracias,Calibre,46,172,91,630540,2021-02-04,2021,02,1
168,spotify:track:6mAN61JH0dzyZpWslS11jy,"Rauw Alejandro, Farruko",Fantasias,"(SME US Latin) Duars Entertainment, Corp. (2)",5,160,72,630427,2021-02-04,2021,02,1
169,spotify:track:7A07Yu1dRND3RKDzbhKrDs,Intocable,Fuerte No Soy,Capitol Latin,97,165,34,630254,2021-02-04,2021,02,1
170,spotify:track:0KkIkfsLEJbrcIhYsCL7L5,"Anuel AA, Daddy Yankee, KAROL G, Ozuna, J Balvin",China,"2020 Real Hasta La Muerte, LLC",1,158,81,625239,2021-02-04,2021,02,1
171,spotify:track:2TzkIzgzIHhewMxyh1u4hh,Kevin Kaarl,Vámonos a Marte,Kevin Kaarl,154,177,9,621556,2021-02-04,2021,02,1
172,spotify:track:4ZplewvZRLFcfBa5uyBbhd,Cardenales De Nuevo León,Belleza De Cantina,Universal Music Mexico,87,161,79,620762,2021-02-04,2021,02,1
173,spotify:track:3D3W7rDsuJIAtjInwh6Moc,"Luis Angel ""El Flaco"", Grupo Firme",Hasta la Miel Amarga (feat. Grupo Firme),LAR Music,167,167,7,620198,2021-02-04,2021,02,1
174,spotify:track:3JHpk0DOTOzyh0777JFAky,Myke Towers,Diosa,"2020 One World Music & Casablanca Records | Powered by GLAD Empire, LL",16,168,51,616993,2021-02-04,2021,02,1
175,spotify:track:6vruVVMkk7YGKzkuIrtOWz,Danna Paola,Oye Pablo,Universal Music Mexico,6,155,75,616788,2021-02-04,2021,02,1
176,spotify:track:5GkeaIeCEfB0LOqk7sIVHQ,Los Elegantes de Jerez,Tú,LE Music,157,186,14,614403,2021-02-04,2021,02,1
177,spotify:track:3mV5TTtHnXUeOzRkyFKsVl,Banda MS de Sergio Lizárraga,Por Mi No Te Detengas,Lizos Music,96,-1,75,614187,2021-02-04,2021,02,1
178,spotify:track:7BwxbmYFy0l3ROHDjV2c14,Luis Miguel,Culpable O No - Miénteme Como Siempre,WEA Latina,4,175,141,613656,2021-02-04,2021,02,1
179,spotify:track:0tjZv2hChdHZCW1zFXpy1J,Bad Bunny,HOY COBRÉ,Rimas Entertainment LLC,13,170,10,613278,2021-02-04,2021,02,1
180,spotify:track:63bmZnBN1CiJ9sA4qTEe8y,Christian Nodal,Adiós Amor,Universal Music Mexico,9,178,215,612219,2021-02-04,2021,02,1
181,spotify:track:5rHezo2wXys6LNAKLrghMG,Los Dos Carnales,El Borracho,Afinarte Music,181,-1,1,610780,2021-02-04,2021,02,1
182,spotify:track:06s3QtMJVXw1AJX3UfvZG1,"Anuel AA, Bad Bunny",Hasta Que Dios Diga,"2020 Real Hasta La Muerte, LLC",15,174,36,607964,2021-02-04,2021,02,1
183,spotify:track:7iQc2DabEtzp60faOO9EmN,Christian Nodal,AYAYAY!,Universal Music Mexico,15,195,42,607548,2021-02-04,2021,02,1
184,spotify:track:3GSMdtJphymHEsR8K9jT5Q,León Larregui,Locos,Universal Music Mexico,56,184,167,607012,2021-02-04,2021,02,1
185,spotify:track:7KbF6AdprOXEEHlsq11Z6d,Maluma,11 PM,Sony Music Latin,3,188,90,604789,2021-02-04,2021,02,1
186,spotify:track:1Ol5LmdNDNpFu1oNwfgkux,"Camilo, Pedro Capó",Tutu,Sony Music Latin,2,164,78,604386,2021-02-04,2021,02,1
187,spotify:track:2JJSGhPpATm8lXeYjD95fw,Bobby Pulido,Desvelado,Capitol Latin,132,191,7,600738,2021-02-04,2021,02,1
188,spotify:track:6WkJ2OK163XXS2oARUC9JM,"Aaron Smith, Krono, Luvli",Dancin (feat. Luvli) - Krono Remix,Sony Music Entertainment,8,176,94,599200,2021-02-04,2021,02,1
189,spotify:track:4yKC4OVtG5Z9nIX98r7SQp,"Joan Sebastian, Calibre 50",Que Sea,Universal Music Mexico,142,187,24,588607,2021-02-04,2021,02,1
190,spotify:track:57Ba26w9eoXx8BBUNgRNLV,"Super Yei, Jone Quest, Sammy, Myke Towers, Lenny Tavárez, Rafa Pabön",La Forma en Que Me Miras,"2020 Superiority | Powered by GLAD EMPIRE, LLC",86,192,51,587805,2021-02-04,2021,02,1
191,spotify:track:0RiRZpuVRbi7oqRdSMwhQY,"Post Malone, Swae Lee",Sunflower - Spider-Man: Into the Spider-Verse,Republic Records,8,185,120,586174,2021-02-04,2021,02,1
192,spotify:track:4xqrdfXkTW4T0RauPLv3WA,Conan Gray,Heather,Republic Records,77,183,20,584754,2021-02-04,2021,02,1
193,spotify:track:3SqvR3HYLlCTYzbDXJ52OC,LP,Lost on You,Vagrant Records,30,196,118,583252,2021-02-04,2021,02,1
194,spotify:track:0zCOT028cU3DeCqN1G18wE,Inspector,Amargo Adiós,Universal Music Mexico,110,193,102,581981,2021-02-04,2021,02,1
195,spotify:track:0psS4i5YooJrXfDnGvWRLi,"Billie Eilish, ROSALÍA",Lo Vas A Olvidar (with ROSALÍA),Columbia,70,70,2,581877,2021-02-04,2021,02,1
196,spotify:track:6vPAmoERUMRoTZaCCSWQ12,Luis Miguel,Hasta Que Me Olvides,WEA Latina,84,200,66,579613,2021-02-04,2021,02,1
197,spotify:track:0B5nnPv1ebuo0VFXCMfUij,El Bebeto,Seremos,UMLE - Disa,60,197,133,579094,2021-02-04,2021,02,1
198,spotify:track:1qNUhmx3rGjiMRThz7Eruv,Cartel De Santa,Si Te Vienen a Contar,"Babilonia Music, S.A. De C.V.",115,-1,79,578254,2021-02-04,2021,02,1
199,spotify:track:6IK6ltyraU1WrC586feemA,Luis R Conriquez,El Buho,Kartel Music,199,-1,1,577300,2021-02-04,2021,02,1
200,spotify:track:7LrXaHUz51m2szHm4hnBae,Carin Leon,Si Tu Amor No Vuelve - Live,Tamarindo Rekordsz,123,-1,15,575645,2021-02-04,2021,02,1
1,spotify:track:5fwSHlTEWpluwOM0Sxnh5k,Farruko,Pepas,Sony Music Latin,1,1,6,5106570,2021-09-02,2021,09,1
2,spotify:track:5RwV8BvLfX5injfqYodke9,Rauw Alejandro,Todo De Ti,Sony Music Latin/Duars Entertainment,1,2,15,5037798,2021-09-02,2021,09,1
3,spotify:track:2JPLbjOn0wPCngEot2STUS,Bad Bunny,Yonaguni,Rimas Entertainment LLC,2,3,13,4641130,2021-09-02,2021,09,1
4,spotify:track:2vmfvSoZBFAt9hhRoEByLi,"Aventura, Bad Bunny",Volví,Rimas Entertainment LLC,3,4,5,4020584,2021-09-02,2021,09,1
5,spotify:track:6hf0RpxTbOprT5nnwzkk8e,"J Balvin, Maria Becerra",Qué Más Pues?,"Sueños Globales, LLC",3,5,14,3594148,2021-09-02,2021,09,1
6,spotify:track:798ahLNEcoFER7Vywg1FMT,Calibre 50,A La Antigüita,"Andaluz Music, LLC",6,14,16,3511576,2021-09-02,2021,09,1
7,spotify:track:2MnLkFqY9Rpg9s3Zv6ZJdK,"Gera MX, Christian Nodal",Botella Tras Botella,Virgin Music México,1,6,19,3416048,2021-09-02,2021,09,1
8,spotify:track:4HzqWEdAbzcVFDv0pvxV4w,Maluma,Sobrio,Sony Music Latin,8,9,8,3307210,2021-09-02,2021,09,1
9,spotify:track:5PjdY0CKGZdEuoNab3yDmX,"The Kid LAROI, Justin Bieber",STAY (with Justin Bieber),Columbia,9,10,8,3238494,2021-09-02,2021,09,1
10,spotify:track:4bF2y8rR7GUjrd5LNEvej3,Ingratax,París,Room28,7,7,8,3194788,2021-09-02,2021,09,1
11,spotify:track:05bfbizlM5AX6Mf1RRyMho,"Nio Garcia, J Balvin, Bad Bunny",AM Remix,Flow La Movie,3,8,10,3027970,2021-09-02,2021,09,1
12,spotify:track:4OwhwvKESFtuu06dTgct7i,"Marc Seguí, Rauw Alejandro, Pol Granch",Tiroteo - Remix,WEA Latina,10,12,10,2771016,2021-09-02,2021,09,1
13,spotify:track:2rCbl9naJYhaxjLsfx88uM,"Sebastian Yatra, Myke Towers",Pareja Del Año,UMLE - Latino,4,11,20,2671096,2021-09-02,2021,09,1
14,spotify:track:3HgvO4B5LLmdPOT2d8cSZd,"LAGOS, Danny Ocean",Mónaco,WM Mexico,12,13,10,2618792,2021-09-02,2021,09,1
15,spotify:track:4H3t8C59tXjKf1R2iKtc5M,Marca MP,Ya Acabo,Marca MP,15,16,23,2586292,2021-09-02,2021,09,1
16,spotify:track:63aj87TQG6F3RVO5nbG2VQ,"J Balvin, Skrillex",In Da Getto,"Sueños Globales, LLC",16,20,9,2563863,2021-09-02,2021,09,1
17,spotify:track:4MzXwWMhyBbmu6hOcLVD49,"Bad Bunny, Jhay Cortez",DÁKITI,Rimas Entertainment LLC,1,15,44,2412988,2021-09-02,2021,09,1
18,spotify:track:3Wrjm47oTz2sjIgck11l5e,Måneskin,Beggin',RCA Records Label,8,19,11,2280077,2021-09-02,2021,09,1
19,spotify:track:64ImcY4fJhY243wr20SR3e,"Calibre 50, Santa Fe Klan, Beto Sierra",Cuidando El Territorio,BS Music,15,17,5,2252018,2021-09-02,2021,09,1
20,spotify:track:0cOa970mzTWAxKtltpkpLc,"TINI, Maria Becerra",Miénteme,Sony Music Latin,20,21,13,2213019,2021-09-02,2021,09,1
21,spotify:track:0G2zPzWqVjR68iNPmx2TBe,"Mora, Bad Bunny, Sech",Volando - Remix,Rimas Entertainment LLC,7,18,8,2105194,2021-09-02,2021,09,1
22,spotify:track:0bI7K9Becu2dtXK1Q3cZNB,"Tiësto, KAROL G",Don't Be Shy,Atlantic Records,22,31,3,2033997,2021-09-02,2021,09,1
23,spotify:track:6w8yBI2vthyN9UnwO4UBWb,"Tiago PZK, LIT killah",Entre Nosotros,WM Chile,18,23,8,2017123,2021-09-02,2021,09,1
24,spotify:track:6HIIuuUIEzH1meVdGbMXyf,Grupo Firme,Ya Supérame (En Vivo),Music VIP Entertainment Inc,24,35,3,1971154,2021-09-02,2021,09,1
25,spotify:track:3PwRuzdphgedcWVUOVYJ7I,Rauw Alejandro,Cúrame,Sony Music Latin/Duars Entertainment,24,24,4,1927039,2021-09-02,2021,09,1
26,spotify:track:27RSJHEA99Y0Vsow7nA37A,"Sech, Jhay Cortez",911 - Remix,Rich Music,17,22,8,1915169,2021-09-02,2021,09,1
27,spotify:track:7E9GeFGfjXw9LAI4ay6rsw,"Grupo Firme, Carin Leon",El Tóxico,Music VIP Entertainment Inc,17,29,44,1869809,2021-09-02,2021,09,1
28,spotify:track:4DdnffqoFr9wDRlCACNmGf,"Natanael Cano, Oscar Maydon",Porte Exuberante,WEA Latina,12,28,14,1849917,2021-09-02,2021,09,1
29,spotify:track:55mzJ0LftLnef8sxAjrMkU,"Santa Fe Klan, Neto Peña, Yoss Bones",Debo Entender,Rap Trap Records / Alzada Corp,26,26,15,1831087,2021-09-02,2021,09,1
30,spotify:track:0eu4C55hL6x29mmeAjytzC,Oliver Tree,Life Goes On,Atlantic Records,30,98,2,1797925,2021-09-02,2021,09,1
31,spotify:track:7xLYLM5K6S1TwiSdfuhZQg,"Gera MX, Rels B",Se Me Olvidó,Rich Vagos Entertainment,6,25,5,1791784,2021-09-02,2021,09,1
32,spotify:track:1WedZeiezCmCEOzLwhx0hV,"J Balvin, KAROL G, Nicky Jam, Crissin, Totoy El Frio, Natan & Shander",Poblado - Remix,Universal Music Latino,13,27,11,1726756,2021-09-02,2021,09,1
33,spotify:track:1yoMvmasuxZfqHEipJhRbp,Maluma,Hawái,Sony Music Latin,1,32,57,1668034,2021-09-02,2021,09,1
34,spotify:track:7Bk0uXKk1uPT0XuQbpFzvs,"Los Legendarios, Wisin, Jhay Cortez",Fiel,La Base Music Group/ WK Records,1,30,29,1657129,2021-09-02,2021,09,1
35,spotify:track:3XjRIN9vEt35lm1iStPcgq,"Santa Fe Klan, Big Soto, Neto Peña",Todo Va a Estar Bien,473 Music,32,34,9,1557008,2021-09-02,2021,09,1
36,spotify:track:6M3PsepEj5gyJoIi7Xvr7u,The Weeknd,Take My Breath,XO / Republic Records,24,33,4,1542279,2021-09-02,2021,09,1
37,spotify:track:2FSGUA0gFgGeQdprjtGM2M,"KAROL G, Mariah Angeliq",EL MAKINON,UMLE - Latino,7,40,23,1523894,2021-09-02,2021,09,1
38,spotify:track:3pQYf90V5idOGrXzosm9rt,Junior H,Se Amerita,WEA Latina,38,50,7,1495710,2021-09-02,2021,09,1
39,spotify:track:0PwFN7vRvY80Hnkoew2x3f,"Rauw Alejandro, Mr. Naisgai",2/Catorce,Sony Music Latin/Duars Entertainment,6,37,18,1492607,2021-09-02,2021,09,1
40,spotify:track:27NovPIUIRrOZoCHxABJwK,"Lil Nas X, Jack Harlow",INDUSTRY BABY (feat. Jack Harlow),Columbia,40,44,5,1486129,2021-09-02,2021,09,1
41,spotify:track:1s59X35jDULAyOGmBuTAnd,"Lenin Ramírez, Grupo Firme",Yo Ya No Vuelvo Contigo - En Vivo,DEL Records,27,38,91,1484992,2021-09-02,2021,09,1
42,spotify:track:4HYDUMY0xSpeBr0AMY9cUz,"Jay Wheeler, DJ Nelson, Myke Towers",La Curiosidad,Linked Music / Dynamic Records / EMPIRE,6,45,62,1417388,2021-09-02,2021,09,1
43,spotify:track:6Uj1ctrBOjOas8xZXGqKk4,Doja Cat,Woman,Kemosabe Records/RCA Records,43,55,5,1406530,2021-09-02,2021,09,1
44,spotify:track:2XIc1pqjXV3Cr2BQUGNBck,"Bad Bunny, ROSALÍA",LA NOCHE DE ANOCHE,Rimas Entertainment LLC,3,43,40,1345919,2021-09-02,2021,09,1
45,spotify:track:6VOb0Kkrd45Bp5RHYSla2J,"Reik, Maluma",Perfecta,Sony Music México,45,46,14,1341031,2021-09-02,2021,09,1
46,spotify:track:0vtYnEw1eJwW26BrBnOAYJ,Banda MS de Sergio Lizárraga,La Casita,Lizos Music,36,51,33,1324196,2021-09-02,2021,09,1
47,spotify:track:6PQ88X9TkUIAUIZJHW2upE,Ed Sheeran,Bad Habits,Atlantic Records UK,47,47,10,1316301,2021-09-02,2021,09,1
48,spotify:track:0akyEssGRVHstqCSWXusJL,Ed Maverick,Fuentes de Ortiz,Universal Music Mexico,21,54,138,1281582,2021-09-02,2021,09,1
49,spotify:track:2OTULPNeQUkwQ0tNzcG7tj,"Reik, Rauw Alejandro",Loquita,Sony Music México,32,42,3,1276587,2021-09-02,2021,09,1
50,spotify:track:0ldT3gl7aGNzrJyd4b1CA4,"Grupo Firme, Lenin Ramírez",En Tu Perra Vida,Music VIP Entertainment Inc,41,41,14,1263317,2021-09-02,2021,09,1
51,spotify:track:2XlGKZNMkRKvEJsbwQ6MCl,"Grupo Firme, Grupo Codiciado",Gracias - En Vivo,Music VIP Entertainment Inc,49,52,22,1257598,2021-09-02,2021,09,1
